0.0,1360.6671,1360.6671,1360.6671,1360.6671,1360.6671
0.25,1360.633,1360.633,1360.633,1360.633,1360.633
0.5,1360.6013,1360.6013,1360.6013,1360.6013,1360.6013
0.75,1360.5763,1360.5763,1360.5763,1360.5763,1360.5763
1.0,1360.5351,1360.5351,1360.5351,1360.5351,1360.5351
1.25,1360.5153,1360.5153,1360.5153,1360.5153,1360.5153
1.5,1360.5016,1360.5016,1360.5016,1360.5016,1360.5016
1.75,1360.4633,1360.4633,1360.4633,1360.4633,1360.4633
2.0,1360.438,1360.438,1360.438,1360.438,1360.438
2.25,1360.4187,1360.4187,1360.4187,1360.4187,1360.4187
2.5,1360.4372,1360.4372,1360.4372,1360.4372,1360.4372
2.75,1360.4233,1360.4233,1360.4233,1360.4233,1360.4233
3.0,1360.3986,1360.3986,1360.3986,1360.3986,1360.3986
3.25,1360.4167,1360.4167,1360.4167,1360.4167,1360.4167
3.5,1360.4184,1360.4184,1360.4184,1360.4184,1360.4184
3.75,1360.4266,1360.4266,1360.4266,1360.4266,1360.4266
4.0,1360.4233,1360.4233,1360.4233,1360.4233,1360.4233
4.25,1360.4042,1360.4042,1360.4042,1360.4042,1360.4042
4.5,1360.398,1360.398,1360.398,1360.398,1360.398
4.75,1360.3941,1360.3941,1360.3941,1360.3941,1360.3941
5.0,1360.4464,1360.4464,1360.4464,1360.4464,1360.4464
5.25,1360.4744,1360.4744,1360.4744,1360.4744,1360.4744
5.5,1360.5005,1360.5005,1360.5005,1360.5005,1360.5005
5.75,1360.534,1360.534,1360.534,1360.534,1360.534
6.0,1360.5242,1360.5242,1360.5242,1360.5242,1360.5242
6.25,1360.5652,1360.5652,1360.5652,1360.5652,1360.5652
6.5,1360.6211,1360.6211,1360.6211,1360.6211,1360.6211
6.75,1360.6481,1360.6481,1360.6481,1360.6481,1360.6481
7.0,1360.6862,1360.6862,1360.6862,1360.6862,1360.6862
7.25,1360.6778,1360.6778,1360.6778,1360.6778,1360.6778
7.5,1360.6448,1360.6448,1360.6448,1360.6448,1360.6448
7.75,1360.7038,1360.7038,1360.7038,1360.7038,1360.7038
8.0,1360.7014,1360.7014,1360.7014,1360.7014,1360.7014
8.25,1360.7075,1360.7075,1360.7075,1360.7075,1360.7075
8.5,1360.7022,1360.7022,1360.7022,1360.7022,1360.7022
8.75,1360.6872,1360.6872,1360.6872,1360.6872,1360.6872
9.0,1360.6794,1360.6794,1360.6794,1360.6794,1360.6794
9.25,1360.6564,1360.6564,1360.6564,1360.6564,1360.6564
9.5,1360.6226,1360.6226,1360.6226,1360.6226,1360.6226
9.75,1360.5835,1360.5835,1360.5835,1360.5835,1360.5835
10.0,1360.5454,1360.5454,1360.5454,1360.5454,1360.5454
10.25,1360.5356,1360.5356,1360.5356,1360.5356,1360.5356
10.5,1360.4828,1360.4828,1360.4828,1360.4828,1360.4828
10.75,1360.424,1360.424,1360.424,1360.424,1360.424
11.0,1360.3644,1360.3644,1360.3644,1360.3644,1360.3644
11.25,1360.3214,1360.3214,1360.3214,1360.3214,1360.3214
11.5,1360.2897,1360.2897,1360.2897,1360.2897,1360.2897
11.75,1360.2661,1360.2661,1360.2661,1360.2661,1360.2661
12.0,1360.2154,1360.2154,1360.2154,1360.2154,1360.2154
12.25,1360.1913,1360.1913,1360.1913,1360.1913,1360.1913
12.5,1360.1215,1360.1215,1360.1215,1360.1215,1360.1215
12.75,1360.1061,1360.1061,1360.1061,1360.1061,1360.1061
13.0,1360.0634,1360.0634,1360.0634,1360.0634,1360.0634
13.25,1360.035,1360.035,1360.035,1360.035,1360.035
13.5,1360.0242,1360.0242,1360.0242,1360.0242,1360.0242
13.75,1360.043,1360.043,1360.043,1360.043,1360.043
14.0,1359.9795,1359.9795,1359.9795,1359.9795,1359.9795
14.25,1360.0039,1360.0039,1360.0039,1360.0039,1360.0039
14.5,1360.0132,1360.0132,1360.0132,1360.0132,1360.0132
14.75,1360.0689,1360.0689,1360.0689,1360.0689,1360.0689
15.0,1360.1083,1360.1083,1360.1083,1360.1083,1360.1083
15.25,1360.1292,1360.1292,1360.1292,1360.1292,1360.1292
15.5,1360.144,1360.144,1360.144,1360.144,1360.144
15.75,1360.2058,1360.2058,1360.2058,1360.2058,1360.2058
16.0,1360.2834,1360.2834,1360.2834,1360.2834,1360.2834
16.25,1360.3374,1360.3374,1360.3374,1360.3374,1360.3374
16.5,1360.3761,1360.3761,1360.3761,1360.3761,1360.3761
16.75,1360.4415,1360.4415,1360.4415,1360.4415,1360.4415
17.0,1360.4574,1360.4574,1360.4574,1360.4574,1360.4574
17.25,1360.498,1360.498,1360.498,1360.498,1360.498
17.5,1360.5074,1360.5074,1360.5074,1360.5074,1360.5074
17.75,1360.5539,1360.5539,1360.5539,1360.5539,1360.5539
18.0,1360.6039,1360.6039,1360.6039,1360.6039,1360.6039
18.25,1360.589,1360.589,1360.589,1360.589,1360.589
18.5,1360.6207,1360.6207,1360.6207,1360.6207,1360.6207
18.75,1360.577,1360.577,1360.577,1360.577,1360.577
19.0,1360.594,1360.594,1360.594,1360.594,1360.594
19.25,1360.6178,1360.6178,1360.6178,1360.6178,1360.6178
19.5,1360.5881,1360.5881,1360.5881,1360.5881,1360.5881
19.75,1360.5783,1360.5783,1360.5783,1360.5783,1360.5783
20.0,1360.5798,1360.5798,1360.5798,1360.5798,1360.5798
20.25,1360.561,1360.561,1360.561,1360.561,1360.561
20.5,1360.5392,1360.5392,1360.5392,1360.5392,1360.5392
20.75,1360.5375,1360.5375,1360.5375,1360.5375,1360.5375
